Concept,Count,Swadesh
933_WALL_OF_HOUSE,3,
2237_deadperson,3,
2241_malicious,3,
2243_auxiliaryverb,3,
2291_stale,3,
183_BAKE,3,
232_FLEA,3,
1940_GUARD,3,
2295_sleepingmat,3,
335_sagorefuse,3,
1762_STONE_OF_FRUIT,3,
1367_CROSS,3,
2401_erect,3,
1159_FART,3,
2444_groin,3,
1743_JOIN,3,
2450_knowledge,3,
350_MANGROVE,3,
2452_midrib,3,
845_MURDER,3,
1036_OWNER,3,
2526_POWER,3,
2411_treesap,3,
266_SCALE,3,
2408_tostraighten,3,
2438_tighthard,3,
2524_talktoyou,3,
2522_talktohim,3,
499_medialsequentialsuffixhavingfinishedthatandthen,3,
871_transitiveverbformingsuffixcausative,3,
581_COME_BACK,3,
873_verbsuffixpresentcontinuoussg,3,
879_verbsuffixpasttensesg,3,
1748_RIDGE,3,
884_medialverbsuffix,3,
886_cordylinesp,3,
862_plateauflatland,3,
933_tolunge,3,
2283_toseek,3,
2275_lance,3,
2253_tofetch,3,
7_GATHER,3,
803_ANKLE,3,
2352_DRAGONFLY,3,
1673_lee,3,
1324_SLIP,3,
1784_weavingwovenmaterial,3,
1803_WOOD,3,
192_CORNER,3,
25_DIRT,3,
808_DRIP_FALL_IN_GLOBULES,3,
1949_negative,3,
1950_locative,3,
1952_separative,3,
1954_vocative,3,
1994_COLLARBONE,3,
1808_PUS,3,
2155_temporary,3,
1309_ASK_INQUIRE,3,
2162_cuthair,3,
2363_CHAFF_HUSK,3,
2168_motherandchild,3,
1674_POOR,3,
1123_PREGNANT,3,
588_BROKEN,2,
816_HALF,2,
1660_LOSE,2,
275_PEEL,2,
1740_PINE,2,
864_PUMPKIN,2,
2135_TRADE_OR_BARTER,2,
894_middletongue,2,
1254_sagomidrib,2,
2127_died,2,
1155_CAVE,2,
2394_sagopulp,2,
1584_BLISTER,2,
2943_BUNDLE,2,
1157_BECAUSE,2,Swadesh200
121_SPIN,2,
1644_RELATIVES,2,
1501_BORE,2,
34_STAIRS,2,
802_ADAM'S_APPLE,2,
3172_SCABIES,2,
2208_BE_AT_WAR,2,
904_BERRY,2,Swadesh200
737_LIGHT_IGNITE,2,
1063_NEPHEW,2,
735_OWL,2,
777_FLUTE,2,
2662_TOENAIL,2,
142_RETURN_HOME,2,
1090_BE_BORN,2,
1927_andi,2,
1930_placenamesuffix,2,
1543_SNAIL,2,
2500_GINGER,2,
1909_SHAKE,2,
1932_inconsequential,2,
738_THING,2,
322_FIG,2,
1943_topic,2,
1944_kinsman,2,
